,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
10,anything_about_game,killop,a wonderful list of game development resources.,https://api.github.com/repos/killop/anything_about_game,C#,2020-02-26 07:52:04+00:00,2024-10-01 15:21:21+00:00,3089,432,0,User,1680,2020
11,behaviac,tencent,"behaviac is a framework of the game ai development, and it also can be used as a rapid game prototype design tool. behaviac supports the behavior tree, finite state machine and hierarchical task network(bt, fsm, htn)",https://api.github.com/repos/Tencent/behaviac,C#,2016-11-21 05:08:08+00:00,2024-09-30 15:27:07+00:00,2850,796,98,Organization,2872,2016
12,Thrive,revolutionary-games,the main repository for the development of the evolution game thrive.,https://api.github.com/repos/Revolutionary-Games/Thrive,C#,2012-08-30 15:31:36+00:00,2024-10-02 07:01:22+00:00,2807,501,727,Organization,4416,2012
13,BlenderTools,epicgamesext,blender addons that improve the game development workflow between blender and unreal.,https://api.github.com/repos/EpicGamesExt/BlenderTools,Python,2020-06-24 02:10:05+00:00,2024-10-02 09:10:37+00:00,2763,50,73,Organization,1561,2020
14,awesome-learn-gamedev,notpresident35,a curated collection of game development learning resources,https://api.github.com/repos/notpresident35/awesome-learn-gamedev,C#,2022-08-14 06:50:18+00:00,2024-10-01 18:44:09+00:00,2584,83,3,User,780,2022
15,stage.js,piqnt,2d html5 rendering and layout engine for game development,https://api.github.com/repos/piqnt/stage.js,JavaScript,2013-11-03 23:35:47+00:00,2024-09-30 17:00:18+00:00,2424,242,9,Organization,3985,2013
16,lingo3d,lingo3d,lingo3d is a web-first 3d game development library with react and vue integration.,https://api.github.com/repos/lingo3d/lingo3d,JavaScript,2022-02-28 10:21:57+00:00,2024-10-02 10:32:48+00:00,2307,306,24,Organization,947,2022
17,zig-gamedev,zig-gamedev,development repo for @zig-gamedev libs and sample applications,https://api.github.com/repos/zig-gamedev/zig-gamedev,C,2021-07-16 14:14:52+00:00,2024-10-02 14:41:23+00:00,2221,173,54,Organization,1174,2021
18,gosu,gosu,2d game development library for ruby and c++,https://api.github.com/repos/gosu/gosu,C++,2009-05-05 22:35:44+00:00,2024-10-01 15:36:26+00:00,2007,173,94,Organization,5628,2009
19,UnityGameFramework,ellanjiang,"this is literally a game framework, based on unity game engine. it encapsulates commonly used game modules during development, and, to a large degree, standardises the process, enhances the development speed and ensures the product quality.",https://api.github.com/repos/EllanJiang/UnityGameFramework,C#,2017-07-04 06:16:35+00:00,2024-10-02 05:48:23+00:00,1956,485,5,User,2647,2017
20,awesome-programming-books,zero-equals-false,"📚 a curated list of awesome programming books (algorithms and data structures, artificial intelligence, software architecture, human–computer interaction, operating systems, database systems, it security, concurrency, interpreters and compilers, high-performance computing, distributed systems, game development, mathematical optimization)",https://api.github.com/repos/zero-equals-false/awesome-programming-books,C#,2019-04-10 12:23:12+00:00,2024-09-29 19:19:20+00:00,1949,164,5,Organization,2002,2019
21,Path-Creator,seblague,path creation asset for unity game development,https://api.github.com/repos/SebLague/Path-Creator,C#,2019-01-25 14:22:52+00:00,2024-09-29 02:58:30+00:00,1796,313,88,User,2077,2019
22,ct-js,ct-js,ct.js is a desktop game engine that makes learning programming fun and game development easy by its visual editors and well-documented code library,https://api.github.com/repos/ct-js/ct-js,TypeScript,2019-08-11 21:27:13+00:00,2024-10-02 06:17:00+00:00,1647,127,15,Organization,1878,2019
23,PixelVision8,pixelvision8,pixel vision 8's core philosophy is to teach retro game development with streamlined workflows. pv8 is also a platform that standardizes 8-bit fantasy console limitations built on top of the open-source c# game engine based on monogame.,https://api.github.com/repos/PixelVision8/PixelVision8,C#,2017-04-01 12:25:59+00:00,2024-09-30 21:47:18+00:00,1638,98,9,Organization,2741,2017
24,AwesomeCppGameDev,caerind,a curated list of awesome c++ (mainly) things for game development. inspired by awesome-... stuff.,https://api.github.com/repos/Caerind/AwesomeCppGameDev,Markdown,2017-08-06 19:38:24+00:00,2024-10-01 16:16:36+00:00,1614,131,0,User,2613,2017
25,dev-practice,alinebastos,practice your skills with these ideas.,https://api.github.com/repos/alinebastos/dev-practice,C#,2017-09-06 22:31:27+00:00,2024-09-30 18:45:28+00:00,1546,132,7,User,2582,2017
26,game-programming-patterns-demo,unity-technologies,"a repo of small demos that assemble some of the well-known design patterns in unity development to support the ebook ""level up your code with game programming patterns""",https://api.github.com/repos/Unity-Technologies/game-programming-patterns-demo,C#,2022-08-11 12:33:54+00:00,2024-09-30 11:36:52+00:00,1477,224,2,Organization,783,2022
27,duality,adamslair,a 2d game development framework,https://api.github.com/repos/AdamsLair/duality,C#,2013-07-21 13:12:50+00:00,2024-09-29 20:55:46+00:00,1406,289,136,Organization,4091,2013
28,rgbds,gbdev,rednex game boy development system - an assembly toolchain for the nintendo game boy and game boy color,https://api.github.com/repos/gbdev/rgbds,C++,2009-09-12 03:33:35+00:00,2024-10-02 02:52:23+00:00,1332,171,57,Organization,5499,2009
29,the-mirror,the-mirror-gdp,"the open-source roblox & uefn alternative giving you freedom to own what you create. an all-in-one, real-time, collaborative game development platform built on godot.",https://api.github.com/repos/the-mirror-gdp/the-mirror,GDScript,2024-02-16 23:23:46+00:00,2024-09-30 20:04:59+00:00,1147,103,82,Organization,228,2024
